iter	Passed	Remaining
0	132	132624
1	163	81549
2	193	64444
3	213	53134
4	245	48823
5	275	45641
6	301	42749
7	331	41059
8	355	39158
9	371	36821
10	392	35320
11	419	34534
12	443	33643
13	458	32296
14	483	31774
15	510	31426
16	526	30443
17	536	29291
18	575	29699
19	591	28988
20	606	28264
21	634	28205
22	653	27744
23	675	27475
24	702	27387
25	721	27029
26	749	27021
27	763	26510
28	778	26065
29	799	25856
30	830	25954
31	861	26047
32	901	26402
33	928	26372
34	943	26013
35	973	26069
36	986	25684
37	1006	25472
38	1021	25172
39	1039	24940
40	1066	24934
41	1095	24983
42	1114	24798
43	1129	24546
44	1147	24347
45	1163	24130
46	1190	24147
47	1235	24512
48	1264	24532
49	1274	24221
50	1301	24226
51	1331	24266
52	1359	24291
53	1373	24064
54	1401	24071
55	1424	24018
56	1452	24028
57	1484	24117
58	1506	24034
59	1535	24048
60	1573	24223
61	1597	24169
62	1620	24094
63	1648	24103
64	1661	23902
65	1678	23748
66	1706	23761
67	1732	23751
68	1744	23533
69	1763	23428
70	1793	23465
71	1818	23436
72	1846	23454
73	1863	23322
74	1880	23195
75	1897	23068
76	1923	23052
77	1937	22896
78	1958	22832
79	1986	22847
80	2007	22775
81	2021	22630
82	2048	22636
83	2069	22570
84	2083	22433
85	2111	22435
86	2124	22290
87	2150	22288
88	2179	22312
89	2197	22219
90	2207	22055
91	2224	21954
92	2240	21854
93	2266	21843
94	2275	21674
95	2298	21646
96	2322	21618
97	2340	21545
98	2366	21540
99	2380	21424
100	2413	21484
101	2429	21389
102	2454	21377
103	2480	21373
104	2493	21257
105	2504	21126
106	2530	21119
107	2562	21164
108	2586	21146
109	2599	21035
110	2630	21067
111	2659	21085
112	2674	20997
113	2692	20925
114	2710	20861
115	2727	20784
116	2742	20701
117	2757	20609
118	2769	20502
119	2787	20440
120	2812	20433
121	2833	20388
122	2846	20296
123	2872	20291
124	2894	20258
125	2906	20162
126	2913	20024
127	2940	20034
128	2958	19978
129	2969	19874
130	2992	19849
131	3018	19849
132	3042	19831
133	3054	19742
134	3069	19664
135	3087	19612
136	3101	19538
137	3116	19468
138	3126	19366
139	3146	19329
140	3170	19313
141	3188	19267
142	3199	19175
143	3205	19057
144	3229	19040
145	3247	18997
146	3273	18997
147	3292	18953
148	3307	18892
149	3319	18811
150	3343	18797
151	3368	18791
152	3383	18729
153	3402	18693
154	3429	18697
155	3450	18670
156	3461	18588
157	3481	18551
158	3498	18507
159	3523	18496
160	3531	18403
161	3558	18405
162	3569	18329
163	3586	18283
164	3617	18304
165	3636	18268
166	3644	18180
167	3667	18164
168	3694	18164
169	3713	18132
170	3743	18148
171	3756	18081
172	3780	18072
173	3809	18082
174	3821	18014
175	3831	17937
176	3848	17896
177	3870	17874
178	3883	17810
179	3892	17731
180	3915	17718
181	3939	17707
182	3964	17700
183	3989	17692
184	4028	17746
185	4056	17754
186	4082	17748
187	4101	17713
188	4109	17635
189	4136	17633
190	4163	17635
191	4183	17606
192	4199	17561
193	4219	17532
194	4247	17534
195	4258	17470
196	4283	17459
197	4306	17442
198	4331	17436
199	4357	17430
200	4374	17389
201	4385	17323
202	4398	17270
203	4426	17272
204	4443	17230
205	4471	17233
206	4497	17230
207	4522	17218
208	4530	17145
209	4548	17111
210	4578	17119
211	4610	17138
212	4626	17093
213	4656	17104
214	4681	17092
215	4700	17060
216	4712	17002
217	4736	16991
218	4752	16947
219	4778	16941
220	4805	16939
221	4821	16897
222	4836	16851
223	4847	16792
224	4867	16765
225	4879	16710
226	4890	16653
227	4902	16599
228	4926	16587
229	4938	16534
230	4955	16495
231	4970	16453
232	4979	16392
233	4993	16345
234	5019	16340
235	5043	16328
236	5062	16298
237	5076	16254
238	5101	16242
239	5116	16201
240	5125	16142
241	5144	16113
242	5156	16063
243	5172	16024
244	5190	15996
245	5209	15966
246	5219	15913
247	5243	15898
248	5270	15895
249	5298	15894
250	5319	15874
251	5335	15836
252	5361	15829
253	5389	15829
254	5416	15823
255	5441	15814
